period,department,number,course_name,instructor,median,comments,source
11,AMES,11,Intro to Korean Culture,"Kim, Suh",A,"new prof, might be risky",11F
M 6-9 pm,COCO,4,Dramatic Storytelling,Phillips,A-,"was two profs last year, but this year just one and he's the easier grader",11F
11,EARS,6,Environmental Change,Hawley,A,unlimited extra credit,11F
12,FRIT,33,Dante,Kay,A-,prof plays pong,11F
12,GOVT,31,Campaigns and Elections,Lacy,A-,,11F
12,JWST,6,Intro to Judaism,Benor,B+,"B+ median, but no work and you don't have to go to class",11F
2A,JWST,22,Jews and Hollywood,Bronski,A-,,11F
9L,M&SS,15,Intro to Data Analysis,Levine,A,do the work and get an A,11F
2A,MUS,2,The Music of Today,Kui Dong,A-,"don't need to go to class, just easy listening quizzes",11F
2A,MUS,9,Music and Technology,Casal,A,make mashups,11F
2A,MUS,51,Oral Traditions and Musicianship,Shabazz,A,"african drumming, prof is the man",11F
10,NAS,8,Perspective in Native America Stys,Palmer,B+,easy prof,11F
9L,PSYC,24,Abnormal Psychology,Scheiner,B+,"B+ median, but easy prof and little work",11F
11,REL,47,Buddhism in China,Raz,B+/A-,,11F
10,RUSS,13,"Vampires, Witches, and Firebirds",Somoff,A-,"extremely easy A-, but watch out for the midterm",11F
10,SOCY,10,Socy Stats,Hollister,B,"not a layup, but by far the easiest ""10"", if you need a stats course best one you can get",11F
10A or 2A,THEA,30,Acting I,Rice,A,"have to do the work, but median A",11F
10,THEA,40,Technical Production,Silver,A,log 70 hours and you get an A,11F
12,AMES,12,Intro to Chinese Culture,Susan Blader,A,,11W
10A,AMES,30,Global Sounds,Theodore Levin,A/A-,,11W
12,ENGL,42,American Fiction to 1900,Donald Pease,A-,,11W
10,ENGL,60,Native American Oral Trdtn,Vera Palmer,A,,11W
2,NAS,22,Native American Lives,Vera Palmer,A,,11W
12,ENGS,1,Everyday Technology,Ronald Lasky,A-,,11W
10A,ENGS,12,Design Thinking,Petter Robbie,A,,11W
2A,MUS,51,African Drumming,Hafiz Shabazz,A,,11W
11,REL,48,Body/ Sex in Chinese Rels,Gil Raz,A,,11W
10,REL,23,Jewish Mysticism,Ehud Benor,A-,,11W
10A,THEA,30,Acting 1,Christian Kohn,A,,11W
10,SOCY,2,Social Problems,Denise Anthony,A,,11W
2A,AMES,11,Intro to Korean Culture,"Kim, Suh",A-,,12F
11,EARS,6,Environmental Change,Hawley,A,"extremely easy SCI, definitely take if you can get in",12F
12,GOVT,31,Campaigns and Elections,Bafumi,A-,fairly easy gov class,12F
12,JWST,6,Intro to Judaism,Benor,B+,"B+ median, but no work and you don't have to go to class",12F
10,LATS,41,Latinos in Media and Arts,Moody,B+,"fairly easy ART distrib if you cant get into MUS 51, supposedly a fun class",12F
AR,MUS,50,Performance Labs: Gamelan,Diamond,N/A,meet once a week for an hour (if that) for 3 terms and get a credit and an Apretty awesome,12F
2,NAS,42,Gender Issues in Native American Life,Palmer,N/A,"new class, but vera is easy",12F
2A,MUS,51,Oral Traditions and Musicianship,Shabazz,A,"african drumming, prof(hafiz) is a boss",12F
10,NAS,8,Perspective in Native America Stys,Palmer,B+,easy prof,12F
10,RUSS,13,"Vampires, Witches, and Firebirds",Gronas,A-,"extremely easy A-, but watch out for the midterm",12F
10,SOCY,10,Socy Stats,Hollister,B,"not a layup, but by far the easiest ""10"", if you need a stats course best one you can get",12F
10A or 2A,THEA,30,Acting I,Rice,A,"have to do the work, but rewarding class and median A",12F
11,THEA,40,Technical Production,Silver,A,log 70 hours making sets and things and you get an A,12F
12,ANTH,37,Legacies Conquest: Latin America,Watanabe,B+,no work other than final paper,12F
AR,THEA,29,Dance Studies in Performance,Evans,A,you dance for credit,12F
10A,MUS,5,History of Jazz,Haas,A,"pretty easy, only thing that sucks is that it's a 10A",12F
2A,NAS,31,Indians in American Lit,Benson Taylor,A-,prof is supposedly awesome and easy,12F
10A,NAS,32,Indian Killers,Benson Taylor,A-,"""",12F
12,AMES,12,Intro to Chinese Culture,Blader,A-,Relatively easy but extremely boring.proceed with caution,12S
12,AMES,18,History and Culture of Indonesia,Diamond,A,Complete joke.gamelan.indonesian drumming,12S
11,EARS,3,Intro to Oceanography,Feng,A-,"Used to be taught by OsterbergFeng is supposed to be a good professor and relatively easy, but exercise some caution",12S
12,ENGL,47,American Drama,Pease,A,Top layup of the spring.a must take,12S
2A,ENGS,5,Healthcare/Biotech 21st Century,Rosen,A-,Interesting topiceasy TAS,12S
2A,ENGS,6,Technology and Biosecurity,Hoyt,A-,Interesting topiceasy TAS,12S
2A,FILM,41,Bond and Beyond,Lawrence,A-,About James Bond movieskinda cool,12S
12,GERM,13,Beyond Good and Evil,Shookman,A-,Easy CI,12S
2,GOVT,31,Campaigns and Elections,Bafumi,A-,Relatively easy gov class,12S
